#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
,,3230,36000,Venda d'efectes inutils,17975,0,17975,10442.13
,,3230,39120,Multes de Trànsit,600000,0,600000,1939220.11
,,3230,39121,MULTES DE TRANSIT: FORA CIUTAT,0,0,0,0
,,3235,47022,Conveni col·laboració empresarial. Ferrolant Alanta S.A.,0,0,0,0
,,3240,41001,Transferències Institut Municipal d'Esports,0,0,0,14000
,,3240,77006,Subvenció UDA Gramenet,0,0,0,0
,,3311,33902,FESTA MAJOR D'ESTIU OCUPACIÓ VIA PÚBLICA,0,0,0,30000
,,3311,46103,Festival de Música Independent.,0,7000,7000,0
,,3311,46107,"Suport a la programació de cinema, música, fires temàtiques,",0,35000,35000,0
,,3311,39915,"EXECUCIÓ DE FIANCES,,,",0,0,0,0
,,3311,46115,Diputació de Barcelona. Difusió Artística,0,0,0,0
,,3311,46144,DIPUTACIÓ DE BARCELONA. DIFUSIÓ PATRIMONI CULTURAL .,0,0,0,0
,,3311,46186,"Diputació de Barcelona. Teatre, Música i Dansa,",0,0,0,0
,,3311,47002,DAMM S.A  ESPONSORITZACIÓ ACTIVITATS CULTURALS,0,0,0,0
,,3311,47008,Aportació bars a la Festa Major,9000,0,9000,0
,,3312,46107,"Suport a la programació de cinema, música, fires temàtiques,",0,47000,47000,0
,,3312,48007,"FUNDACIO CATALUNYACAIXA,  FITI 2011",0,6000,6000,6000
,,3312,34401,UTILITZACIÓ AUDITORI CAN ROIG I TORRES.,0,0,0,1160.3
,,3312,34403,UTILITZACIÓ TEATRE J.M.SAGARRA,0,0,0,24440.05
,,3312,45037,"Generalitat de Catalunya. Activitats arts escèniques, música",0,14297,14297,14297
,,3312,45042,"GENERALITAT DE CATALUNYA. ACTIVITATS CULTURALS.,",0,0,0,0
,,3312,46185,DIPUTACIO DE BARCELONA.COMPANYIA BALLET DAVID CAMPOS,0,30000,30000,30000
,,3312,46186,"Diputació de Barcelona. Teatre, Música i Dansa,,",0,0,0,0
,,3313,45042,Generalitat de Catalunya. Activitats culturals.,0,11000,11000,11000
,,3313,46107,"Suport a la programació de cinema, música, fires temàtiques,",0,7000,7000,0
,,3313,46115,"DIPUTACIÓ DE BARCELONA. DIFUSIÓ ARTÌSTICA,",0,0,0,0
,,3314,46113,Diputació. Itineraris pel patrimoni de Santa Coloma,0,1500,1500,0
,,3314,34414,Ingressos museu Torre Balldovina,2000,0,2000,329.75
,,3314,45015,Generalitat de Catalunya. Funcionament museu,1800,0,1800,0
,,3314,45031,Generalitat de Catalunya. Intervencions al Poblat Ibèric.,2500,15226.5,17726.5,12181.2
,,3314,45032,"GENERALITAT DE CATALUNYA. PROJECTE DIFUSIÓ HISTÒRIA.,,",0,0,0,0
,,3314,45040,GENERALITAT DE CATALUNYA.DOC.INFOR.MUSEU TORRE BALLDOVINA,0,0,0,0
,,3314,46144,Diputació de Barcelona. Difusió patrimoni cultural,0,12000,12000,0
,,3314,76114,DIPUTACIÓ DE BARCELONA. MOBILIARI MUSEU TORRE BALLDOVINA.,0,0,0,0
,,3315,46110,DIPUTACIO DE BARCELONA.EDICIÓ DE LLIBRES,0,2500,2500,2500
,,3315,46179,"Diputació de Barcelona. Edició llibre,,",0,0,0,0
,,3315,46501,Consell Comarcal Barcelones.Edició llibre,0,0,0,0
,,3319,45042,Generalitat de Catalunya. Activitats culturals.,0,19000,19000,19000
,,3319,46111,Programa d'infromació i dinamització juvenil als centres d'e,0,7600,7600,0
,,3319,46106,"DIPUTACIÓ DE BARCELONA. POLÍTIQUES D'IGUALTAT,",0,0,0,0
,,3319,46112,Diputació BCN. Area de cultura. Conveni joventut,12600,16214,28814,0
,,3319,46186,"Diputació de Barcelona. Teatre, Música i dansa",0,0,0,0
,,3319,46189,"DIPUTACIÓ DE BARCELONA. TRAVESSA COTXES D'ÈPOCA.,,",0,0,0,0
,,3319,46191,DIPUTACIÓ DE BARCELONA.ACTIVITATS PER A JOVES,0,0,0,0
,,3320,45022,GENERALITAT DE CATALUNYA. UNIVERSALITZACIÓ GRATUÏTAT LLIBRES,0,0,0,0
,,3321,45012,Generalitat de Catalunya. Oficina Municipal Escolarització,16000,9500,25500,57635
,,3321,45099,Generalitat. Ensenyament. Reciclatge llibres text,250150,0,250150,0
,,3321,46208,Partcipació Municipal en tributs de l'Estat (OOVV),0,0,0,215821.85
,,3322,45043,Generalitat de Catalunya.Conveni col.pla educatiu d'entorn,0,242902,242902,109426.38
,,3322,46186,"DIPUTACIÓ DE BARCELONA. TEATRE, MÚSICA I DANSA",0,2500,2500,2500
,,3322,34005,Teatre escolar,0,12422,12422,0
,,3322,34405,INGRESSOS ENTRADES TEATRE,0,0,0,0
,,3322,34900,Altres preus públics,0,0,0,62.75
,,3322,39903,"IMPREVISTOS,,,,",0,0,0,107.54
,,3322,46114,Diputació BCN. Activitats educatives complementaries,41903.1,0,41903.1,0
,,3322,46115,DIPUTACIÓ DE BARCELONA.AJUTS PROGRAMES DE DIFUSIÓ ARTÌSTICA,0,0,0,0
,,3322,46118,Diputació de Barcelona. Projecte Educatiu de Ciutat.,0,0,0,0
,,3322,46155,"DIPUTACIÓ DE BARCELONA. CAMPANYA""""CONEGUEM ELS NOSTRES PARCS""""",0,0,0,0
,,3323,45036,Generalitat de Catalunya. Suport centres educació infantil,442800,0,442800,541200
,,3323,46152,DIPUTACIÓ DE BARCELONA. SUFICIENCIA ALIMENTARIA 0-3,0,13029,13029,2605.8
,,3324,45046,GENERALITAT DE CATALUNYA. ACTIVITATS EXTRAESCOLARS.,0,0,0,0
,,3330,41000,Transferències Patronat Municipal de Música,0,0,0,15485.36
,,3330,45007,GENERALITAT DE CATALUNYA. SOSTENIMENT ESCOLA DE MÚSICA,0,172500,172500,279000
,,3340,46106,"DIPUTACIÓ DE BARCELONA. POLÍTIQUES D'IGUALTAT,,",0,0,0,865
,,3340,45026,Generalitat de Catalunya. Cooperació i Solidaritat,0,0,0,0
,,3340,45042,"GENERALITAT DE CATALUNYA. ACTIVITATS CULTURALS.,,",0,0,0,0
,,3340,46120,Dones i joves (Cooperació Marroc),0,3500,3500,0
,,3340,46121,DIPUTACIÓ BCN.PLA SENSIBILITZACIÓ PER LA SOLIDARITAT,0,0,0,0
,,3340,46122,Diputació Barna.Pla de sensibilització per a la solidaritat,0,16000,16000,16000
,,3340,46143,DIPUTACIÓ DE BARCELONA. PLA DESEN.DIABUGU BATAPHA.,0,0,0,0
,,3410,42013,Ministerio de Trabajo y S.S.  Detecció de dinàmiques juvenil,0,20000,20000,20000
,,3410,32501,"Expedicio de documents,,",41530.32,0,41530.32,12.75
,,3410,42090,"ALTRES TRANSF CORRENTS DE LA ADMÓN GENERAL DE L'ESTAT.,",0,0,0,0
,,3410,45005,Generalitat. Benestar. Pla per la convivència,196740.4,0,196740.4,133529.9
,,3410,45052,GENERALITAT DE CATALUNYA. CONVENI BENESTAR SOCIAL,0,0,0,8410
,,3410,46123,Diputació de Barcelona.Sistema participació Ciutadana,0,0,0,0
,,3410,46139,Diputació BCN. Conveni immigrants. CITE,18000,6100.61,24100.61,0
,,3410,46153,"DIPUTACIÓ DE BARCELONA. POLÍTIQ. DE DIVERSITAT I CIUTADANIA,",0,0,0,0
,,3410,46180,Diputació BCN.polítiques de migració i ciutadania,50000,25000,75000,37500
,,3411,42090,"ALTRES TRANSF CORRENTS DE LA ADMÓN GENERAL DE L'ESTAT.,,",0,0,0,0
,,3411,46153,"DIPUTACIÓ DE BARCELONA. POLÍTIQ. DE DIVERSITAT I CIUTADANI,,",0,0,0,0
,,3413,46116,DIBA Projecte estratègic de ciutat,0,0,0,19042
,,3413,45016,"GENERALITAT DE CATALUNYA. ACTUACIONS INTERCULTURALS,",0,0,0,0
,,3413,45042,"GENERALITAT DE CATALUNYA. ACTIVITATS CULTURALS.,,,",0,0,0,0
,,3420,42097,Ministerio Sanidad. Prevenció drogodependències.,0,36540,36540,0
,,3420,42093,MINISTERI DE SANITAT I CONSUM. PREVENCIÓ DROGODEPENDÈNCIES,0,24360,24360,24360
,,3420,45011,Generalitat. Benestar. Programa drogodependències,65409.98,0,65409.98,98977.4
,,3420,46145,Diputació BCN. Prev. Drogodependències. Prev. medi obert,20000,0,20000,0
,,3421,45033,"Generalitat de Catalunya. Actuacions comunitaries i cívique,",49773.71,0,49773.71,99547.42
